5005
Test with best model:
=> Loaded checkpoint 'logs/humpbackWhale/checkpoint.pth.tar'
extracting query features

Extract Features: [10/160]	Time 0.125 (0.350)	Data 0.000 (0.099)	
Extract Features: [20/160]	Time 0.124 (0.247)	Data 0.000 (0.059)	
Extract Features: [30/160]	Time 0.299 (0.229)	Data 0.160 (0.062)	
Extract Features: [40/160]	Time 0.125 (0.214)	Data 0.000 (0.057)	
Extract Features: [50/160]	Time 0.253 (0.207)	Data 0.128 (0.056)	
Extract Features: [60/160]	Time 0.125 (0.202)	Data 0.000 (0.055)	
Extract Features: [70/160]	Time 0.355 (0.200)	Data 0.230 (0.056)	
Extract Features: [80/160]	Time 0.125 (0.195)	Data 0.000 (0.053)	
Extract Features: [90/160]	Time 0.200 (0.193)	Data 0.075 (0.053)	
Extract Features: [100/160]	Time 0.125 (0.191)	Data 0.000 (0.053)	
Extract Features: [110/160]	Time 0.125 (0.191)	Data 0.000 (0.054)	
Extract Features: [120/160]	Time 0.142 (0.189)	Data 0.018 (0.053)	
Extract Features: [130/160]	Time 0.125 (0.189)	Data 0.000 (0.054)	
Extract Features: [140/160]	Time 0.125 (0.188)	Data 0.000 (0.053)	
Extract Features: [150/160]	Time 0.126 (0.187)	Data 0.000 (0.054)	
Extract Features: [160/160]	Time 1.043 (0.192)	Data 0.000 (0.053)	
extracting gallery features

Extract Features: [10/508]	Time 0.125 (0.249)	Data 0.000 (0.124)	
Extract Features: [20/508]	Time 0.124 (0.209)	Data 0.000 (0.084)	
Extract Features: [30/508]	Time 0.125 (0.199)	Data 0.000 (0.074)	
Extract Features: [40/508]	Time 0.125 (0.190)	Data 0.000 (0.065)	
Extract Features: [50/508]	Time 0.124 (0.190)	Data 0.000 (0.066)	
Extract Features: [60/508]	Time 0.125 (0.185)	Data 0.000 (0.060)	
Extract Features: [70/508]	Time 0.125 (0.184)	Data 0.000 (0.059)	
Extract Features: [80/508]	Time 0.125 (0.181)	Data 0.000 (0.056)	
Extract Features: [90/508]	Time 0.125 (0.180)	Data 0.000 (0.055)	
Extract Features: [100/508]	Time 0.144 (0.178)	Data 0.018 (0.053)	
Extract Features: [110/508]	Time 0.126 (0.179)	Data 0.000 (0.054)	
Extract Features: [120/508]	Time 0.125 (0.177)	Data 0.000 (0.052)	
Extract Features: [130/508]	Time 0.125 (0.178)	Data 0.000 (0.053)	
Extract Features: [140/508]	Time 0.125 (0.178)	Data 0.000 (0.053)	
Extract Features: [150/508]	Time 0.125 (0.180)	Data 0.000 (0.055)	
Extract Features: [160/508]	Time 0.125 (0.179)	Data 0.000 (0.054)	
Extract Features: [170/508]	Time 0.125 (0.180)	Data 0.000 (0.055)	
Extract Features: [180/508]	Time 0.125 (0.179)	Data 0.000 (0.054)	
Extract Features: [190/508]	Time 0.132 (0.179)	Data 0.007 (0.054)	
Extract Features: [200/508]	Time 0.125 (0.179)	Data 0.000 (0.054)	
Extract Features: [210/508]	Time 0.125 (0.179)	Data 0.000 (0.054)	
Extract Features: [220/508]	Time 0.126 (0.178)	Data 0.000 (0.053)	
Extract Features: [230/508]	Time 0.125 (0.178)	Data 0.000 (0.053)	
Extract Features: [240/508]	Time 0.126 (0.178)	Data 0.000 (0.053)	
Extract Features: [250/508]	Time 0.260 (0.179)	Data 0.135 (0.054)	
Extract Features: [260/508]	Time 0.125 (0.179)	Data 0.000 (0.054)	
Extract Features: [270/508]	Time 0.233 (0.179)	Data 0.108 (0.054)	
Extract Features: [280/508]	Time 0.126 (0.178)	Data 0.000 (0.053)	
Extract Features: [290/508]	Time 0.261 (0.178)	Data 0.136 (0.053)	
Extract Features: [300/508]	Time 0.125 (0.178)	Data 0.000 (0.053)	
Extract Features: [310/508]	Time 0.264 (0.178)	Data 0.140 (0.053)	
Extract Features: [320/508]	Time 0.126 (0.178)	Data 0.000 (0.053)	
Extract Features: [330/508]	Time 0.286 (0.178)	Data 0.161 (0.053)	
Extract Features: [340/508]	Time 0.126 (0.177)	Data 0.000 (0.052)	
Extract Features: [350/508]	Time 0.297 (0.177)	Data 0.172 (0.052)	
Extract Features: [360/508]	Time 0.125 (0.176)	Data 0.000 (0.051)	
Extract Features: [370/508]	Time 0.282 (0.177)	Data 0.157 (0.052)	
Extract Features: [380/508]	Time 0.125 (0.176)	Data 0.000 (0.051)	
Extract Features: [390/508]	Time 0.266 (0.176)	Data 0.140 (0.051)	
Extract Features: [400/508]	Time 0.124 (0.176)	Data 0.000 (0.051)	
Extract Features: [410/508]	Time 0.292 (0.176)	Data 0.167 (0.051)	
Extract Features: [420/508]	Time 0.125 (0.176)	Data 0.000 (0.051)	
Extract Features: [430/508]	Time 0.297 (0.176)	Data 0.172 (0.051)	
Extract Features: [440/508]	Time 0.125 (0.176)	Data 0.000 (0.051)	
Extract Features: [450/508]	Time 0.355 (0.176)	Data 0.231 (0.051)	
Extract Features: [460/508]	Time 0.124 (0.176)	Data 0.000 (0.051)	
Extract Features: [470/508]	Time 0.347 (0.176)	Data 0.222 (0.051)	
Extract Features: [480/508]	Time 0.126 (0.176)	Data 0.000 (0.050)	
Extract Features: [490/508]	Time 0.347 (0.175)	Data 0.222 (0.050)	
Extract Features: [500/508]	Time 0.126 (0.175)	Data 0.001 (0.050)	
+++++++++++++++
